[INFO][2015-09-24 12:21:58,548][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000108: Foreign keys: []
[INFO][2015-09-24 12:21:58,548][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000126: Indexes: [primary]
[INFO][2015-09-24 12:21:58,549][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000232: Schema update complete
[WARN][2015-09-24 12:22:11,500][org.hibernate.engine.jdbc.spi.SqlExceptionHelper]SQL Error: 0, SQLState: null
[ERROR][2015-09-24 12:22:11,500][org.hibernate.engine.jdbc.spi.SqlExceptionHelper]Error
[INFO][2015-09-24 12:22:11,616][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} closed
[ERROR][2015-09-24 13:00:14,744][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2015-09-24 13:00:14,924][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2015-09-24 13:00:15,725][org.hibernate.annotations.common.Version]HCANN000001: Hibernate Commons Annotations {4.0.2.Final}
[INFO][2015-09-24 13:00:15,735][org.hibernate.Version]HHH000412: Hibernate Core {4.2.5.Final}
[INFO][2015-09-24 13:00:15,738][org.hibernate.cfg.Environment]HHH000206: hibernate.properties not found
[INFO][2015-09-24 13:00:15,741][org.hibernate.cfg.Environment]HHH000021: Bytecode provider name : javassist
[INFO][2015-09-24 13:00:16,472][org.hibernate.dialect.Dialect]HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
[INFO][2015-09-24 13:00:16,789][org.hibernate.engine.transaction.internal.TransactionFactoryInitiator]HHH000399: Using default transaction strategy (direct JDBC transactions)
[INFO][2015-09-24 13:00:16,798][org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory]HHH000397: Using ASTQueryTranslatorFactory
[INFO][2015-09-24 13:00:17,472][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000228: Running hbm2ddl schema update
[INFO][2015-09-24 13:00:17,472][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000102: Fetching database metadata
[INFO][2015-09-24 13:00:17,479][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000396: Updating schema
[INFO][2015-09-24 13:00:17,521][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000261: Table found: test.t_user
[INFO][2015-09-24 13:00:17,522][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000037: Columns: [id, name, password]
[INFO][2015-09-24 13:00:17,522][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000108: Foreign keys: []
[INFO][2015-09-24 13:00:17,523][org.hibernate.tool.hbm2ddl.TableMetadata]HHH000126: Indexes: [primary]
[INFO][2015-09-24 13:00:17,524][org.hibernate.tool.hbm2ddl.SchemaUpdate]HHH000232: Schema update complete
[INFO][2015-09-24 13:00:18,173][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} closed
[ERROR][2015-09-24 13:00:43,397][com.alibaba.druid.pool.DruidAbstractDataSource]maxIdle is deprecated
[INFO][2015-09-24 13:00:43,634][com.alibaba.druid.pool.DruidDataSource]{dataSource-1} inited
[INFO][2015-09-24 13:00:44,599][org.hibernate.annotations.common.Version]HCANN000001: Hibernate Commons Annotations {4.0.2.Final}
[INFO][2015-09-24 13:00:44,616][org.hibernate.Version]HHH000412: Hibernate Core {4.2.5.Final}
[INFO][2015-09-24 13:00:44,625][org.hibernate.cfg.Environment]HHH000206: hibernate.properties not found
